,Kingdom,Phylum,Class,Order,Family,Genus,Species
Seq1958,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA003-E22,NA,NA,NA,NA
Seq1959,Bacteria,NA,NA,NA,NA,NA,NA
Seq1961,Bacteria,NA,NA,NA,NA,NA,NA
Seq1962,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq1963,Bacteria,NA,NA,NA,NA,NA,NA
Seq1964,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,NA
Seq1965,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,NA
Seq1966,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq1967,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,NA
Seq1968,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,NA,NA,NA
Seq1969,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,uncultured Tenacibaculum sp.
Seq1970,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,NA,NA
Seq1971,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,marine metagenome
Seq1972,Bacteria,NA,NA,NA,NA,NA,NA
Seq1973,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,uncultured marine bacterium
Seq1974,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA,NA
Seq1975,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq1976,Archaea,Halobacterota,Halobacteria,Halobacterales,Halomicrobiaceae,Halomarina,uncultured Halobacteriales archaeon
Seq1977,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
Seq1978,Bacteria,Firmicutes,Thermoanaerobacteria,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,NA
Seq1979,Bacteria,NA,NA,NA,NA,NA,NA
Seq1980,Bacteria,NA,NA,NA,NA,NA,NA
Seq1981,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq1982,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq1983,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq1984,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq1985,Bacteria,NA,NA,NA,NA,NA,NA
Seq1986,Bacteria,NA,NA,NA,NA,NA,NA
Seq1987,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,uncultured,uncultured marine microorganism,NA
Seq1988,Bacteria,NA,NA,NA,NA,NA,NA
Seq1989,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq1990,Bacteria,NA,NA,NA,NA,NA,NA
Seq1991,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma,uncultured Mollicutes bacterium
Seq1992,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,Gemmatimonadetes bacterium SCGC AAA240-J22,NA,NA,NA
Seq1993,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,NA
Seq1994,Bacteria,NA,NA,NA,NA,NA,NA
Seq1995,Bacteria,NA,NA,NA,NA,NA,NA
Seq1996,Unassigned,NA,NA,NA,NA,NA,NA
Seq1997,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,NA,NA
Seq1998,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq1999,Bacteria,Desulfobacterota,Desulfuromonadia,NA,NA,NA,NA
Seq2000,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq2001,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq2002,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
Seq2003,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq2004,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella sp. oral taxon 780
Seq2005,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Filifactor,NA
Seq2006,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2007,Bacteria,NA,NA,NA,NA,NA,NA
Seq2008,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq2009,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA
Seq2010,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2012,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Lentimonas,NA
Seq2013,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured marine bacterium,NA,NA
Seq2015,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,NA,NA
Seq2016,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq2017,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
Seq2018,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,NA,NA,NA
Seq2019,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq2020,Bacteria,NA,NA,NA,NA,NA,NA
Seq2021,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2022,Bacteria,NA,NA,NA,NA,NA,NA
Seq2024,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq2025,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
Seq2026,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2027,Unassigned,NA,NA,NA,NA,NA,NA
Seq2028,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq2029,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
Seq2030,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus osmophilus
Seq2031,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
Seq2032,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA
Seq2033,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Amnipila,NA
Seq2034,Unassigned,NA,NA,NA,NA,NA,NA
Seq2035,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,uncultured organism,NA
Seq2036,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2037,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
Seq2038,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,uncultured nuHF2 cluster bacterium HF0130_29D04
Seq2039,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,uncultured proteobacterium,NA
Seq2040,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq2041,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,A714019,NA
Seq2042,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,NA,NA,NA
Seq2043,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq2044,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
Seq2045,Bacteria,Cyanobacteria,Cyanobacteriia,NA,NA,NA,NA
Seq2046,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,uncultured bacterium KM3-69-F5,NA,NA
Seq2047,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,NA
Seq2048,Bacteria,NA,NA,NA,NA,NA,NA
Seq2049,Bacteria,NA,NA,NA,NA,NA,NA
Seq2050,Bacteria,NA,NA,NA,NA,NA,NA
Seq2051,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
Seq2052,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2053,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq2054,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA
Seq2055,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq2056,Bacteria,Planctomycetota,OM190,hydrothermal vent metagenome,NA,NA,NA
Seq2057,Bacteria,NA,NA,NA,NA,NA,NA
Seq2058,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,uncultured marine crenarchaeote SAT1000-49-D2,NA
Seq2060,Bacteria,NA,NA,NA,NA,NA,NA
Seq2061,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral clone ASCG12
Seq2062,Bacteria,NA,NA,NA,NA,NA,NA
Seq2063,Bacteria,NA,NA,NA,NA,NA,NA
Seq2064,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2065,Bacteria,NA,NA,NA,NA,NA,NA
Seq2066,Archaea,Halobacterota,Halobacteria,Halobacterales,Halomicrobiaceae,uncultured,marine metagenome
Seq2067,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq2068,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,NA,NA,NA
Seq2069,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq2070,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq2071,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Halobacteriovorax,NA
Seq2072,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
Seq2073,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,NA,NA,NA
Seq2075,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,uncultured proteobacterium,NA
Seq2076,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,NA,NA,NA
Seq2077,Bacteria,NA,NA,NA,NA,NA,NA
Seq2078,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq2079,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Botryosphaeria dothidea,NA
Seq2080,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA
Seq2081,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq2082,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,NA
Seq2083,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA
Seq2084,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2085,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium daeguense
Seq2086,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured endolithic bacterium
Seq2087,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq2088,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
Seq2089,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA
Seq2090,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NA,NA
Seq2091,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA
Seq2092,Bacteria,NA,NA,NA,NA,NA,NA
Seq2093,Bacteria,NA,NA,NA,NA,NA,NA
Seq2094,Bacteria,NA,NA,NA,NA,NA,NA
Seq2095,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq2096,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq2097,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,NA,NA
Seq2099,Bacteria,NA,NA,NA,NA,NA,NA
Seq2100,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Halobacteriovorax,NA
Seq2102,Bacteria,NA,NA,NA,NA,NA,NA
Seq2103,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq2104,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,uncultured,uncultured marine bacterium
Seq2105,Bacteria,NA,NA,NA,NA,NA,NA
Seq2106,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,NA
Seq2107,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
Seq2108,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq2109,Unassigned,NA,NA,NA,NA,NA,NA
Seq2110,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,NA
Seq2111,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2112,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
Seq2113,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
Seq2114,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq2115,Bacteria,NA,NA,NA,NA,NA,NA
Seq2116,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2117,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2118,Bacteria,NA,NA,NA,NA,NA,NA
Seq2119,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq2120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
Seq2121,Bacteria,NA,NA,NA,NA,NA,NA
Seq2122,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2123,Bacteria,Firmicutes,Bacilli,Thermicanales,Thermicanaceae,Thermicanus,NA
Seq2124,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. oral clone X066
Seq2125,Bacteria,NA,NA,NA,NA,NA,NA
Seq2126,Bacteria,NA,NA,NA,NA,NA,NA
Seq2127,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2128,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2129,Bacteria,NA,NA,NA,NA,NA,NA
Seq2130,Bacteria,Cyanobacteria,Cyanobacteriia,NA,NA,NA,NA
Seq2131,Bacteria,NA,NA,NA,NA,NA,NA
Seq2133,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq2134,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq2135,Bacteria,NA,NA,NA,NA,NA,NA
Seq2136,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2137,Bacteria,NA,NA,NA,NA,NA,NA
Seq2138,Bacteria,NA,NA,NA,NA,NA,NA
Seq2139,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2140,Bacteria,NA,NA,NA,NA,NA,NA
Seq2142,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq2143,Bacteria,NA,NA,NA,NA,NA,NA
Seq2144,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq2145,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,NA
Seq2146,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,uncultured Flavobacteriia bacterium
Seq2147,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
Seq2148,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA
Seq2149,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Gilvimarinus,NA
Seq2150,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
Seq2151,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Mogibacterium,Mogibacterium neglectum
Seq2152,Bacteria,NA,NA,NA,NA,NA,NA
Seq2154,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
Seq2155,Bacteria,NA,NA,NA,NA,NA,NA
Seq2156,Bacteria,NA,NA,NA,NA,NA,NA
Seq2157,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Pelagibius,mucus bacterium 23
Seq2158,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2159,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2160,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA,NA
Seq2161,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,uncultured delta proteobacterium DeepAnt-1F12,NA,NA
Seq2162,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq2163,Bacteria,NA,NA,NA,NA,NA,NA
Seq2164,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2165,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq2166,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium AD261-B2,NA,NA,NA,NA
Seq2167,Bacteria,NA,NA,NA,NA,NA,NA
Seq2168,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Seq2169,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,NA,NA
Seq2170,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Seq2171,Unassigned,NA,NA,NA,NA,NA,NA
Seq2172,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
Seq2173,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,MD3-55,bacterium Sq1_host
Seq2174,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2175,Bacteria,NA,NA,NA,NA,NA,NA
Seq2176,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Phaeocystis antarctica,NA,NA
Seq2177,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq2178,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,uncultured marine bacterium
Seq2179,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Dasania,Dasania marina
Seq2180,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured marine bacterium
Seq2181,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2182,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA003-E22,NA,NA,NA,NA
Seq2183,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,uncultured proteobacterium,NA,NA,NA
Seq2184,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
Seq2186,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,NA,NA
Seq2187,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,NA
Seq2188,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA
Seq2189,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
Seq2190,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
Seq2191,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
Seq2192,Bacteria,NA,NA,NA,NA,NA,NA
Seq2193,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,NA,NA
Seq2194,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,uncultured Alteromonadaceae bacterium
Seq2195,Bacteria,NA,NA,NA,NA,NA,NA
Seq2196,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella,NA
Seq2197,Bacteria,NA,NA,NA,NA,NA,NA
Seq2198,Bacteria,NA,NA,NA,NA,NA,NA
Seq2199,Bacteria,NA,NA,NA,NA,NA,NA
Seq2200,Bacteria,NA,NA,NA,NA,NA,NA
Seq2201,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,NA,NA
Seq2202,Bacteria,NA,NA,NA,NA,NA,NA
Seq2203,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
Seq2204,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoanaerobaculum,Lachnospiraceae bacterium oral taxon 107
Seq2205,Bacteria,NA,NA,NA,NA,NA,NA
Seq2206,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq2207,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA
Seq2208,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2209,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq2210,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,NA
Seq2211,Bacteria,NA,NA,NA,NA,NA,NA
Seq2212,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
Seq2213,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq2214,Unassigned,NA,NA,NA,NA,NA,NA
Seq2215,Bacteria,Desulfobacterota,NA,NA,NA,NA,NA
Seq2216,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Halobacteriovorax,NA
Seq2217,Bacteria,NA,NA,NA,NA,NA,NA
Seq2218,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
Seq2219,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
Seq2220,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
Seq2221,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA
Seq2222,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,uncultured,Sphingobium sp. W1.09-106
Seq2223,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq2224,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA
Seq2225,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
Seq2226,Bacteria,NA,NA,NA,NA,NA,NA
Seq2227,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2228,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,uncultured Alteromonadales bacterium
Seq2229,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2230,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2231,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2232,Bacteria,Patescibacteria,Gracilibacteria,JGI 0000069-P22,uncultured marine bacterium,NA,NA
Seq2233,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2234,Bacteria,NA,NA,NA,NA,NA,NA
Seq2235,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,NA
Seq2236,Bacteria,Marinimicrobia (SAR406 clade),uncultured marine microorganism,NA,NA,NA,NA
Seq2238,Bacteria,NA,NA,NA,NA,NA,NA
Seq2239,Bacteria,Myxococcota,Polyangia,Blfdi19,uncultured marine bacterium,NA,NA
Seq2240,Bacteria,Actinobacteriota,Actinobacteria,PeM15,uncultured bacterium ARCTIC38_F_05,NA,NA
Seq2241,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
Seq2242,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq2243,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp. oral clone HF001
Seq2244,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,NA
Seq2245,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
Seq2246,Bacteria,Desulfobacterota,NA,NA,NA,NA,NA
Seq2247,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq2248,Bacteria,NB1-j,uncultured marine bacterium,NA,NA,NA,NA
Seq2249,Bacteria,NA,NA,NA,NA,NA,NA
Seq2250,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,NA
Seq2251,Bacteria,NA,NA,NA,NA,NA,NA
Seq2252,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,NA,NA
Seq2253,Bacteria,NA,NA,NA,NA,NA,NA
Seq2254,Bacteria,Planctomycetota,Planctomycetes,NA,NA,NA,NA
Seq2255,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA
Seq2256,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium roseum
Seq2257,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,uncultured Roseobacter sp.,NA,NA
Seq2258,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
Seq2259,Bacteria,Firmicutes,Bacilli,NA,NA,NA,NA
Seq2260,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,NA
Seq2261,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA
Seq2262,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
Seq2263,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
